rule	path	line	owner	class	evidence
V27?	02_shell/src/cli.rs	704	value_to_json	BINDING-DEPENDENT	2 arms [Value::Bool(v) | Value::Int(v)]
V27?	01_core/src/compiler/introspect.rs	84	walk	OVERLAP-OR-SUBSUMPTION	2 arms [Content::Styled(body, _) | Content::SmallCaps { body, .. }]
V27?	01_core/src/compiler/introspect.rs	85	walk	BINDING-DEPENDENT	16 arms [Content::Block(e) | Content::Boxed(e) | Content::Pad(e) | Content::Align(e) | Content::Hide(e) | Content::ListItem(e) | Content::EnumItem(e) | Content::Footnote(e) | Content::Quote(e) | Content::Overline(e) | Content::Underline(e) | Content::Strike(e) | Content::Strong(e) | Content::Emph(e) | Content::Title(e) | Content::Link(e)]
V27?	01_core/src/compiler/introspect.rs	123	walk	EMPTY-EQUIVALENCE	2 arms [Content::ContextBlock(_) | Content::Dynamic(_) | _]
V27?	01_core/src/compiler/introspect.rs	557	materialize_time	OVERLAP-OR-SUBSUMPTION	6 arms [Content::Empty | Content::Text(_) | Content::Space // P622: Parbreak é leaf estrutural — sem CounterDisplay possível. | Content::Parbreak | Content::Raw(_) | Content::Ref(_) | Content::SetPage { .. } | Content::CounterUpdate(_) | Content::Outline(_) | Content::Linebreak(_) | Content::MathAlignPoint(_) | Content::MathIdent(_) | Content::MathText(_) // P287 — SmartQuote leaf (sem CounterDisplay possível). | Content::SmartQuote(_) | Content::Equation { .. } | Content::MathSequence(_) | Content::MathFrac(_) | Content::MathAttach(_) | Content::MathRoot(_) | Content::MathDelimited(_) | Content::MathMatrix(_) | Content::MathCases(_) // P296 — Math accent/cancel terminais em materialize_time // (paralelo MathFrac/MathRoot; sem CounterDisplay no body). | Content::MathAccent(_) | Content::MathCancel(_) // P772y — Math class override terminal (paralelo P296/P298). | Content::MathClassOverride(_) // P992 — Math limits override terminal (limits()/scripts()). | Content::MathLimitsOverride(_) // P297 — Math underover terminal (paralelo P296). | Content::MathUnderover(_) // P298 — Math op terminal (paralelo cluster math). | Content::MathOp(_) // P311b.2 — MathStyled terminal em materialize_time (math structural). | Content::MathStyled(_) | Content::Image(_) | Content::Divider(_) // Passo 156D (ADR-0061 Fase 1 sub-passo 2) — h/v spacing leaves. | Content::HSpace(_) | Content::VSpace(_) // Passo 156E (ADR-0061 Fase 1 sub-passo 3) — pagebreak leaf. | Content::Pagebreak(_) // Passo 220 (ADR-0078 sub-fase b 4/4) — colbreak leaf. | Content::Colbreak(_) | Content::Shape { .. } // Passo 513 — Curve é leaf não-locatable. | Content::Curve(_) // P169 (M9): Metadata é terminal — clonar directamente. | Content::Metadata(_) // P171 (M9): State e StateUpdate são terminais. | Content::State(_) | Content::StateUpdate(_) // P240 (M9d/M7+1): StateDisplay terminal em materialize_time — // resolução real via apply_state_displays + layout arm. | Content::StateDisplay(_) // P241 (M9d/M7+2): CounterDisplayCallback terminal paralelo // StateDisplay; resolução real via apply_counter_displays. | Content::CounterDisplayCallback(_) | Content::GridHLine(_) | Content::GridVLine(_) | Content::TableHLine(_) | Content::TableVLine(_) | Content::Asset { .. } | Content::ContextBlock(_) | Content::Dynamic(_) | Content::HtmlElem(_)]
V27?	01_core/src/compiler/introspect.rs	1353	walk	BINDING-DEPENDENT	3 arms [Content::PageRun(e) | Content::ListItem(e) | Content::EnumItem(e)]
V27?	01_core/src/compiler/introspect.rs	1366	walk	BINDING-DEPENDENT	21 arms [Content::Strong(e) | Content::Emph(e) | Content::Underline(e) | Content::Strike(e) | Content::Overline(e) | Content::Transform(e) | Content::GridHeader(e) | Content::GridFooter(e) | Content::GridCell(e) | Content::TableCell(e) | Content::TableHeader(e) | Content::TableFooter(e) | Content::Footnote(e) | Content::Align(e) | Content::Place(e) | Content::Pad(e) | Content::Hide(e) | Content::Block(e) | Content::Boxed(e) | Content::Repeat(e) | Content::Columns(e)]
V27?	01_core/src/compiler/introspect.rs	1526	walk	BINDING-DEPENDENT	2 arms [Content::Title(e) | Content::Equation(e)]
V27?	01_core/src/compiler/introspect.rs	1641	walk	OVERLAP-OR-SUBSUMPTION	9 arms [Content::CounterUpdate(_) | Content::Empty | Content::Text(_) | Content::Space // P622: Parbreak é leaf estrutural — sem efeito em counters. | Content::Parbreak | Content::Ref(_) | Content::CounterDisplay(_) | Content::Raw(_) | Content::Link(_) | Content::MathSequence(_) | Content::MathIdent(_) | Content::MathText(_) | Content::MathFrac(_) | Content::MathAttach(_) | Content::MathRoot(_) | Content::MathDelimited(_) | Content::MathMatrix(_) | Content::MathCases(_) // P296 — Math accent/cancel sem children non-math em walk // (paralelo MathFrac/MathRoot: math layout interno não emite // tags introspecção). | Content::MathAccent(_) | Content::MathCancel(_) // P772y — Math class override terminal em walk (paralelo P296/P298). | Content::MathClassOverride(_) // P992 — Math limits override terminal em walk (limits()/scripts()). | Content::MathLimitsOverride(_) // P297 — Math underover terminal em walk (paralelo P296). | Content::MathUnderover(_) // P298 — Math op terminal em walk. | Content::MathOp(_) // P311b.2 — MathStyled terminal em walk (math structural). | Content::MathStyled(_) | Content::MathAlignPoint(_) | Content::Linebreak(_) // P287 — SmartQuote leaf (não-locatable; sem counters). | Content::SmartQuote(_) | Content::Image(_) | Content::SetPage { .. } | Content::Divider(_) // Passo 156D — h/v spacing leaves; sem effect em counters. | Content::HSpace(_) | Content::VSpace(_) // Passo 156E — pagebreak leaf; sem effect em counters. | Content::Pagebreak(_) // Passo 220 — colbreak leaf; sem effect em counters. | Content::Colbreak(_) | Content::Shape { .. } // P169 (M9): Metadata é terminal — sem efeito em counters. // Tag::Start/End já é emitido no topo de walk via extract_payload // (que produz `Some(ElementPayload::Metadata)`). | Content::Metadata(_) // P171 (M9): State e StateUpdate são terminais. Tag emitido // no topo via extract_payload. | Content::State(_) | Content::StateUpdate(_) // P240 (M9d/M7+1): StateDisplay terminal. Tag emitido no topo // via extract_payload; valor pre-rendered em apply_state_displays. | Content::StateDisplay(_) // P241 (M9d/M7+2): CounterDisplayCallback terminal paralelo // StateDisplay; tag emitido no topo via extract_payload; valor // pre-rendered em apply_counter_displays. | Content::CounterDisplayCallback(_) | Content::Dynamic(_) | Content::GridHLine(_) | Content::GridVLine(_) | Content::TableHLine(_) | Content::TableVLine(_) | Content::ContextBlock(_) | Content::Document { .. } | Content::Asset { .. } | Content::Curve(_) | Content::HtmlElem(_)]
V27?	03_infra/src/shaper.rs	328	shape_item	OVERLAP-OR-SUBSUMPTION	3 arms [FrameItem::Group { items, .. } | FrameItem::Link { items, .. } | FrameItem::Semantic { items, .. }]
V27?	03_infra/src/shaper.rs	2353	get_item_x	OVERLAP-OR-SUBSUMPTION	7 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. } | FrameItem::Link { pos, .. }]
V27?	03_infra/src/shaper.rs	2367	set_item_x	OVERLAP-OR-SUBSUMPTION	7 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. } | FrameItem::Link { pos, .. }]
