mutant_id	path	line	mutation	outcome	reproduction	semantic_effect	verdict	authority	action	final_outcome
M001	01_core/entities/l1_allowed_external.rs	36	replace for_rust -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M002	01_core/entities/l1_allowed_external.rs	77	replace for_cpp -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M003	01_core/entities/l1_allowed_external.rs	85	replace for_zig -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M004	01_core/entities/l1_allowed_external.rs	93	replace for_go -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M005	01_core/entities/l1_allowed_external.rs	121	replace for_java -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M006	01_core/entities/l1_allowed_external.rs	133	replace for_elixir -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M007	01_core/entities/l1_allowed_external.rs	151	replace empty_for_rust -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M008	01_core/entities/l1_allowed_external.rs	53	replace for_python -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M009	01_core/entities/l1_allowed_external.rs	61	replace for_typescript -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M010	01_core/entities/l1_allowed_external.rs	69	replace for_c -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant não compila sob o contrato de Self	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M011	01_core/entities/l1_allowed_external.rs	227	replace for_language -> reference with leaked Default	UNVIABLE	compile failure recorded	mutant não compila sob lifetime e tipo fechados	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M012	01_core/rules/alien_file.rs	23	replace check_aliens -> vec![Default::default()]	UNVIABLE	compile failure recorded	Violation não satisfaz Default no contrato	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M013	01_core/rules/mutable_state_core.rs	44	replace check -> vec![Default::default()]	UNVIABLE	compile failure recorded	Violation não satisfaz Default no contrato	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M014	01_core/rules/orphan_prompt.rs	29	replace check_orphans -> vec![Default::default()]	UNVIABLE	compile failure recorded	Violation não satisfaz Default no contrato	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M015	01_core/rules/quarantine_leak.rs	23	replace check -> vec![Default::default()]	UNVIABLE	compile failure recorded	Violation não satisfaz Default no contrato	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
M016	01_core/rules/test_file.rs	20	replace check -> vec![Default::default()]	UNVIABLE	compile failure recorded	Violation não satisfaz Default no contrato	TOOL-LIMIT	rustc + cargo-mutants	nenhuma alegação semântica	UNVIABLE
