id	rule	level	path	line	evidence_sha256	semantic_cluster	initial_verdict	final_verdict	rationale	test_or_oracle	commit
C0001	V16	warning	01_core/rules/unsourced_constant.rs	230	8817fe6a66dce39ad4231c5af15dc2e5b2cdbe5c3962dc2dcca40af66d582ce1	wildcard	REFACTOR	REFACTORED	wildcard substituído por enumeração total de CitationKind	testes direcionados V16 + suíte do módulo	30782d7
C0002	V17	warning	03_infra/git_refinement.rs	358	674f1e395325d848ed3626a4e55cf007d90056035b86a1377701723d97ff1d9d	git-guard	REFACTOR	REFACTORED	guard de diretório decomposto preservando chamadas e fail-closed	testes git_refinement + tabela-verdade preservada	30782d7
C0003	V17	warning	03_infra/git_refinement.rs	373	674f1e395325d848ed3626a4e55cf007d90056035b86a1377701723d97ff1d9d	git-guard	REFACTOR	REFACTORED	guard de arquivo decomposto preservando chamadas e fail-closed	testes git_refinement + tabela-verdade preservada	30782d7
C0004	V19	info	01_core/entities/refinement.rs	162	1791bfb62c8353c5594310ee366fc126f02b0ea90f049e036ab447eb6f76f269	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0005	V19	info	01_core/entities/refinement_seal.rs	62	7c2efbdc99e54d3df826502f7476767d934b6f5acec4bf93eb22410fbb028667	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0006	V19	info	01_core/entities/rule_traits.rs	190	ce86f0d893f82adc4bd1a01f9714f4aa891c24b734d9ea0c936d29f67dac3cf2	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0007	V19	info	01_core/rules/decision_ownership.rs	25	c1a50c1bcbe7d48dd266dcf88729b1461f706732da0511b51a5a667debd6e98a	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0008	V19	info	01_core/rules/forbidden_import.rs	48	18797feb80260878d0be8c45e653474de9390f26dac836de5d2b9b3d5b24b819	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0009	V19	info	01_core/rules/unsourced_constant.rs	201	0fad7e614b8e0fd647ead1bf0955ad64cc3c1b39144bc97e7187ad883707e9e4	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0010	V19	info	01_core/rules/wildcard_saturation.rs	94	4343307d6454e5b3ef107d0bac23e6bafac149566131cee7fdd58abe12fce715	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
